slot_1based,source_end_time,assumed_interval_start,assumed_interval_end,q1_template_row,annual_template_column_1based,original_template_label,mapping_status
1,00:10,00:00,00:10,2,2,0:10-0:20,proposed_right_endpoint_assumption_not_official_correction
2,00:20,00:10,00:20,3,3,0:20-0:30,proposed_right_endpoint_assumption_not_official_correction
3,00:30,00:20,00:30,4,4,0:30-0:40,proposed_right_endpoint_assumption_not_official_correction
4,00:40,00:30,00:40,5,5,0:40-0:50,proposed_right_endpoint_assumption_not_official_correction
5,00:50,00:40,00:50,6,6,0:50-1:00,proposed_right_endpoint_assumption_not_official_correction
6,01:00,00:50,01:00,7,7,1:00-1:10,proposed_right_endpoint_assumption_not_official_correction
7,01:10,01:00,01:10,8,8,1:10-1:20,proposed_right_endpoint_assumption_not_official_correction
8,01:20,01:10,01:20,9,9,1:20-1:30,proposed_right_endpoint_assumption_not_official_correction
9,01:30,01:20,01:30,10,10,1:30-1:40,proposed_right_endpoint_assumption_not_official_correction
10,01:40,01:30,01:40,11,11,1:40-1:50,proposed_right_endpoint_assumption_not_official_correction
11,01:50,01:40,01:50,12,12,1:50-2:00,proposed_right_endpoint_assumption_not_official_correction
12,02:00,01:50,02:00,13,13,2:00-2:10,proposed_right_endpoint_assumption_not_official_correction
13,02:10,02:00,02:10,14,14,2:10-2:20,proposed_right_endpoint_assumption_not_official_correction
14,02:20,02:10,02:20,15,15,2:20-2:30,proposed_right_endpoint_assumption_not_official_correction
15,02:30,02:20,02:30,16,16,2:30-2:40,proposed_right_endpoint_assumption_not_official_correction
16,02:40,02:30,02:40,17,17,2:40-2:50,proposed_right_endpoint_assumption_not_official_correction
17,02:50,02:40,02:50,18,18,2:50-3:00,proposed_right_endpoint_assumption_not_official_correction
18,03:00,02:50,03:00,19,19,3:00-3:10,proposed_right_endpoint_assumption_not_official_correction
19,03:10,03:00,03:10,20,20,3:10-3:20,proposed_right_endpoint_assumption_not_official_correction
20,03:20,03:10,03:20,21,21,3:20-3:30,proposed_right_endpoint_assumption_not_official_correction
21,03:30,03:20,03:30,22,22,3:30-3:40,proposed_right_endpoint_assumption_not_official_correction
22,03:40,03:30,03:40,23,23,3:40-3:50,proposed_right_endpoint_assumption_not_official_correction
23,03:50,03:40,03:50,24,24,3:50-4:00,proposed_right_endpoint_assumption_not_official_correction
24,04:00,03:50,04:00,25,25,4:00-4:10,proposed_right_endpoint_assumption_not_official_correction
25,04:10,04:00,04:10,26,26,4:10-4:20,proposed_right_endpoint_assumption_not_official_correction
26,04:20,04:10,04:20,27,27,4:20-4:30,proposed_right_endpoint_assumption_not_official_correction
27,04:30,04:20,04:30,28,28,4:30-4:40,proposed_right_endpoint_assumption_not_official_correction
28,04:40,04:30,04:40,29,29,4:40-4:50,proposed_right_endpoint_assumption_not_official_correction
29,04:50,04:40,04:50,30,30,4:50-5:00,proposed_right_endpoint_assumption_not_official_correction
30,05:00,04:50,05:00,31,31,5:00-5:10,proposed_right_endpoint_assumption_not_official_correction
31,05:10,05:00,05:10,32,32,5:10-5:20,proposed_right_endpoint_assumption_not_official_correction
32,05:20,05:10,05:20,33,33,5:20-5:30,proposed_right_endpoint_assumption_not_official_correction
33,05:30,05:20,05:30,34,34,5:30-5:40,proposed_right_endpoint_assumption_not_official_correction
34,05:40,05:30,05:40,35,35,5:40-5:50,proposed_right_endpoint_assumption_not_official_correction
35,05:50,05:40,05:50,36,36,5:50-6:00,proposed_right_endpoint_assumption_not_official_correction
36,06:00,05:50,06:00,37,37,6:00-6:10,proposed_right_endpoint_assumption_not_official_correction
37,06:10,06:00,06:10,38,38,6:10-6:20,proposed_right_endpoint_assumption_not_official_correction
38,06:20,06:10,06:20,39,39,6:20-6:30,proposed_right_endpoint_assumption_not_official_correction
39,06:30,06:20,06:30,40,40,6:30-6:40,proposed_right_endpoint_assumption_not_official_correction
40,06:40,06:30,06:40,41,41,6:40-6:50,proposed_right_endpoint_assumption_not_official_correction
41,06:50,06:40,06:50,42,42,6:50-7:00,proposed_right_endpoint_assumption_not_official_correction
42,07:00,06:50,07:00,43,43,7:0-7:10,proposed_right_endpoint_assumption_not_official_correction
43,07:10,07:00,07:10,44,44,7:10-7:20,proposed_right_endpoint_assumption_not_official_correction
44,07:20,07:10,07:20,45,45,7:20-7:30,proposed_right_endpoint_assumption_not_official_correction
45,07:30,07:20,07:30,46,46,7:30-7:40,proposed_right_endpoint_assumption_not_official_correction
46,07:40,07:30,07:40,47,47,7:40-7:50,proposed_right_endpoint_assumption_not_official_correction
47,07:50,07:40,07:50,48,48,7:50-8:00,proposed_right_endpoint_assumption_not_official_correction
48,08:00,07:50,08:00,49,49,8:00-8:10,proposed_right_endpoint_assumption_not_official_correction
49,08:10,08:00,08:10,50,50,8:10-8:20,proposed_right_endpoint_assumption_not_official_correction
50,08:20,08:10,08:20,51,51,8:20-8:30,proposed_right_endpoint_assumption_not_official_correction
51,08:30,08:20,08:30,52,52,8:30-8:40,proposed_right_endpoint_assumption_not_official_correction
52,08:40,08:30,08:40,53,53,8:40-8:50,proposed_right_endpoint_assumption_not_official_correction
53,08:50,08:40,08:50,54,54,8:50-9:00,proposed_right_endpoint_assumption_not_official_correction
54,09:00,08:50,09:00,55,55,9:00-9:10,proposed_right_endpoint_assumption_not_official_correction
55,09:10,09:00,09:10,56,56,9:10-9:20,proposed_right_endpoint_assumption_not_official_correction
56,09:20,09:10,09:20,57,57,9:20-9:30,proposed_right_endpoint_assumption_not_official_correction
57,09:30,09:20,09:30,58,58,9:30-9:40,proposed_right_endpoint_assumption_not_official_correction
58,09:40,09:30,09:40,59,59,9:40-9:50,proposed_right_endpoint_assumption_not_official_correction
59,09:50,09:40,09:50,60,60,9:50-10:00,proposed_right_endpoint_assumption_not_official_correction
60,10:00,09:50,10:00,61,61,10:00-10:10,proposed_right_endpoint_assumption_not_official_correction
61,10:10,10:00,10:10,62,62,10:10-10:20,proposed_right_endpoint_assumption_not_official_correction
62,10:20,10:10,10:20,63,63,10:20-10:30,proposed_right_endpoint_assumption_not_official_correction
63,10:30,10:20,10:30,64,64,10:30-10:40,proposed_right_endpoint_assumption_not_official_correction
64,10:40,10:30,10:40,65,65,10:40-10:50,proposed_right_endpoint_assumption_not_official_correction
65,10:50,10:40,10:50,66,66,10:50-11:00,proposed_right_endpoint_assumption_not_official_correction
66,11:00,10:50,11:00,67,67,11:00-11:10,proposed_right_endpoint_assumption_not_official_correction
67,11:10,11:00,11:10,68,68,11:10-11:20,proposed_right_endpoint_assumption_not_official_correction
68,11:20,11:10,11:20,69,69,11:20-11:30,proposed_right_endpoint_assumption_not_official_correction
69,11:30,11:20,11:30,70,70,11:30-11:40,proposed_right_endpoint_assumption_not_official_correction
70,11:40,11:30,11:40,71,71,11:40-11:50,proposed_right_endpoint_assumption_not_official_correction
71,11:50,11:40,11:50,72,72,11:50-12:00,proposed_right_endpoint_assumption_not_official_correction
72,12:00,11:50,12:00,73,73,12:00-12:10,proposed_right_endpoint_assumption_not_official_correction
73,12:10,12:00,12:10,74,74,12:10-12:20,proposed_right_endpoint_assumption_not_official_correction
74,12:20,12:10,12:20,75,75,12:20-12:30,proposed_right_endpoint_assumption_not_official_correction
75,12:30,12:20,12:30,76,76,12:30-12:40,proposed_right_endpoint_assumption_not_official_correction
76,12:40,12:30,12:40,77,77,12:40-12:50,proposed_right_endpoint_assumption_not_official_correction
77,12:50,12:40,12:50,78,78,12:50-13:00,proposed_right_endpoint_assumption_not_official_correction
78,13:00,12:50,13:00,79,79,13:00-13:10,proposed_right_endpoint_assumption_not_official_correction
79,13:10,13:00,13:10,80,80,13:10-13:20,proposed_right_endpoint_assumption_not_official_correction
80,13:20,13:10,13:20,81,81,13:20-13:30,proposed_right_endpoint_assumption_not_official_correction
81,13:30,13:20,13:30,82,82,13:30-13:40,proposed_right_endpoint_assumption_not_official_correction
82,13:40,13:30,13:40,83,83,13:40-13:50,proposed_right_endpoint_assumption_not_official_correction
83,13:50,13:40,13:50,84,84,13:50-14:00,proposed_right_endpoint_assumption_not_official_correction
84,14:00,13:50,14:00,85,85,14:00-14:10,proposed_right_endpoint_assumption_not_official_correction
85,14:10,14:00,14:10,86,86,14:10-14:20,proposed_right_endpoint_assumption_not_official_correction
86,14:20,14:10,14:20,87,87,14:20-14:30,proposed_right_endpoint_assumption_not_official_correction
87,14:30,14:20,14:30,88,88,14:30-14:40,proposed_right_endpoint_assumption_not_official_correction
