slot,start_minute,end_minute,price_yuan_kwh
1,0,10,0.4248
2,10,20,0.4245
3,20,30,0.4269
4,30,40,0.4272
5,40,50,0.4271
6,50,60,0.4285
7,60,70,0.4311
8,70,80,0.4302
9,80,90,0.4279
10,90,100,0.4312
11,100,110,0.4333
12,110,120,0.4311
13,120,130,0.4293
14,130,140,0.4324
15,140,150,0.4367
16,150,160,0.4348
17,160,170,0.4335
18,170,180,0.4357
19,180,190,0.4374
20,190,200,0.4371
21,200,210,0.4356
22,210,220,0.4353
23,220,230,0.436
24,230,240,0.4378
25,240,250,0.4401
26,250,260,0.4389
27,260,270,0.4364
28,270,280,0.4393
29,280,290,0.4422
30,290,300,0.4395
31,300,310,0.4333
32,310,320,0.4439
33,320,330,0.4301
34,330,340,0.3713
35,340,350,0.5708
36,350,360,0.9099
37,360,370,0.9368
38,370,380,0.8758
39,380,390,0.8759
40,390,400,0.8601
41,400,410,0.8442
42,410,420,0.8334
43,420,430,0.8092
44,430,440,0.7972
45,440,450,0.7644
46,450,460,0.6899
47,460,470,0.86
48,470,480,1.1617
49,480,490,1.1683
50,490,500,1.0956
51,500,510,1.0849
52,510,520,1.061
53,520,530,1.043
54,530,540,1.036
55,540,550,1.0147
56,550,560,0.9922
57,560,570,0.97
58,570,580,0.9422
59,580,590,0.9569
60,590,600,0.9977
61,600,610,0.9919
62,610,620,0.9588
63,620,630,0.9549
64,630,640,0.9839
65,640,650,0.799
66,650,660,0.5025
67,660,670,0.4662
68,670,680,0.5007
69,680,690,0.4827
70,690,700,0.4785
71,700,710,0.4662
72,710,720,0.4432
73,720,730,0.4411
74,730,740,0.4551
75,740,750,0.4463
76,750,760,0.4113
77,760,770,0.5682
78,770,780,0.8279
79,780,790,0.8636
80,790,800,0.8416
81,800,810,0.8618
82,810,820,0.8623
83,820,830,0.9026
84,830,840,0.9754
85,840,850,1.0002
86,850,860,0.9978
87,860,870,1.0271
88,870,880,1.0906
89,880,890,0.9376
90,890,900,0.6694
91,900,910,0.66
92,910,920,0.7217
93,920,930,0.7308
94,930,940,0.7534
95,940,950,0.7823
96,950,960,0.8055
97,960,970,0.8271
98,970,980,0.8519
99,980,990,0.8791
100,990,1000,0.9024
101,1000,1010,0.9163
102,1010,1020,0.9264
103,1020,1030,0.9462
104,1030,1040,0.9742
105,1040,1050,0.9862
106,1050,1060,0.976
107,1060,1070,1.0742
108,1070,1080,1.2313
109,1080,1090,1.2561
110,1090,1100,1.2447
111,1100,1110,1.2545
112,1110,1120,1.2522
113,1120,1130,1.2881
114,1130,1140,1.3466
115,1140,1150,1.3523
116,1150,1160,1.3445
117,1160,1170,1.3483
118,1170,1180,1.349
119,1180,1190,1.3473
120,1190,1200,1.3482
121,1200,1210,1.3513
122,1210,1220,1.34
123,1220,1230,1.3489
124,1230,1240,1.3952
125,1240,1250,1.2226
126,1250,1260,0.9332
127,1260,1270,0.9068
128,1270,1280,0.9371
129,1280,1290,0.9371
130,1290,1300,0.9871
131,1300,1310,0.7764
132,1310,1320,0.4209
133,1320,1330,0.3859
134,1330,1340,0.4368
135,1340,1350,0.4198
136,1350,1360,0.4186
137,1360,1370,0.4241
138,1370,1380,0.4237
139,1380,1390,0.4248
140,1390,1400,0.424
141,1400,1410,0.422
142,1410,1420,0.424
143,1420,1430,0.4271
144,1430,1440,0.4276
