slot,source_end_minute,start_minute,end_minute,original_annual_label,canonical_label,original_q1_label,q1_template_row,annual_template_column,export_label,interpretation
1,10,0,10,0:10-0:20,00:00-00:10,0:10-0:20,2,B,00:00-00:10,right_endpoint_assumption_not_official_correction
2,20,10,20,0:20-0:30,00:10-00:20,0:20-0:30,3,C,00:10-00:20,right_endpoint_assumption_not_official_correction
3,30,20,30,0:30-0:40,00:20-00:30,0:30-0:40,4,D,00:20-00:30,right_endpoint_assumption_not_official_correction
4,40,30,40,0:40-0:50,00:30-00:40,0:40-0:50,5,E,00:30-00:40,right_endpoint_assumption_not_official_correction
5,50,40,50,0:50-1:00,00:40-00:50,0:50-1:00,6,F,00:40-00:50,right_endpoint_assumption_not_official_correction
6,60,50,60,1:00-1:10,00:50-01:00,1:00-1:10,7,G,00:50-01:00,right_endpoint_assumption_not_official_correction
7,70,60,70,1:10-1:20,01:00-01:10,1:10-1:20,8,H,01:00-01:10,right_endpoint_assumption_not_official_correction
8,80,70,80,1:20-1:30,01:10-01:20,1:20-1:30,9,I,01:10-01:20,right_endpoint_assumption_not_official_correction
9,90,80,90,1:30-1:40,01:20-01:30,1:30-1:40,10,J,01:20-01:30,right_endpoint_assumption_not_official_correction
10,100,90,100,1:40-1:50,01:30-01:40,1:40-1:50,11,K,01:30-01:40,right_endpoint_assumption_not_official_correction
11,110,100,110,1:50-2:00,01:40-01:50,1:50-2:00,12,L,01:40-01:50,right_endpoint_assumption_not_official_correction
12,120,110,120,2:00-2:10,01:50-02:00,2:00-2:10,13,M,01:50-02:00,right_endpoint_assumption_not_official_correction
13,130,120,130,2:10-2:20,02:00-02:10,2:10-2:20,14,N,02:00-02:10,right_endpoint_assumption_not_official_correction
14,140,130,140,2:20-2:30,02:10-02:20,2:20-2:30,15,O,02:10-02:20,right_endpoint_assumption_not_official_correction
15,150,140,150,2:30-2:40,02:20-02:30,2:30-2:40,16,P,02:20-02:30,right_endpoint_assumption_not_official_correction
16,160,150,160,2:40-2:50,02:30-02:40,2:40-2:50,17,Q,02:30-02:40,right_endpoint_assumption_not_official_correction
17,170,160,170,2:50-3:00,02:40-02:50,2:50-3:00,18,R,02:40-02:50,right_endpoint_assumption_not_official_correction
18,180,170,180,3:00-3:10,02:50-03:00,3:00-3:10,19,S,02:50-03:00,right_endpoint_assumption_not_official_correction
19,190,180,190,3:10-3:20,03:00-03:10,3:10-3:20,20,T,03:00-03:10,right_endpoint_assumption_not_official_correction
20,200,190,200,3:20-3:30,03:10-03:20,3:20-3:30,21,U,03:10-03:20,right_endpoint_assumption_not_official_correction
21,210,200,210,3:30-3:40,03:20-03:30,3:30-3:40,22,V,03:20-03:30,right_endpoint_assumption_not_official_correction
22,220,210,220,3:40-3:50,03:30-03:40,3:40-3:50,23,W,03:30-03:40,right_endpoint_assumption_not_official_correction
23,230,220,230,3:50-4:00,03:40-03:50,3:50-4:00,24,X,03:40-03:50,right_endpoint_assumption_not_official_correction
24,240,230,240,4:00-4:10,03:50-04:00,4:00-4:10,25,Y,03:50-04:00,right_endpoint_assumption_not_official_correction
25,250,240,250,4:10-4:20,04:00-04:10,4:10-4:20,26,Z,04:00-04:10,right_endpoint_assumption_not_official_correction
26,260,250,260,4:20-4:30,04:10-04:20,4:20-4:30,27,AA,04:10-04:20,right_endpoint_assumption_not_official_correction
27,270,260,270,4:30-4:40,04:20-04:30,4:30-4:40,28,AB,04:20-04:30,right_endpoint_assumption_not_official_correction
28,280,270,280,4:40-4:50,04:30-04:40,4:40-4:50,29,AC,04:30-04:40,right_endpoint_assumption_not_official_correction
29,290,280,290,4:50-5:00,04:40-04:50,4:50-5:00,30,AD,04:40-04:50,right_endpoint_assumption_not_official_correction
30,300,290,300,5:00-5:10,04:50-05:00,5:00-5:10,31,AE,04:50-05:00,right_endpoint_assumption_not_official_correction
31,310,300,310,5:10-5:20,05:00-05:10,5:10-5:20,32,AF,05:00-05:10,right_endpoint_assumption_not_official_correction
32,320,310,320,5:20-5:30,05:10-05:20,5:20-5:30,33,AG,05:10-05:20,right_endpoint_assumption_not_official_correction
33,330,320,330,5:30-5:40,05:20-05:30,5:30-5:40,34,AH,05:20-05:30,right_endpoint_assumption_not_official_correction
34,340,330,340,5:40-5:50,05:30-05:40,5:40-5:50,35,AI,05:30-05:40,right_endpoint_assumption_not_official_correction
35,350,340,350,5:50-6:00,05:40-05:50,5:50-6:00,36,AJ,05:40-05:50,right_endpoint_assumption_not_official_correction
